pedido_id,fecha_pedido,hub_origen,destino,ruta,paquetes_asignados,paquetes_pendientes,tiempo_entrega
0000088,17/12:50,UBBB,OJAI,UBBB->OERK (3.3h) | OERK->OJAI (2.7h),5,68,5.95
0000088,17/12:50,UBBB,OJAI,UBBB->OJAI (4.1h),68,0,4.12
0000089,17/04:05,EBCI,UMMS,EBCI->LKPR (1.9h) | LKPR->LDZA (2.7h) | LDZA->LOWW (1.4h) | LOWW->UMMS (3.3h),168,0,9.28
0000090,17/17:40,SPIM,SVMI,SPIM->SVMI (5.4h),169,0,5.43
0000091,18/09:55,SPIM,SKBO,SPIM->SVMI (5.4h) | SVMI->SKBO (2.4h),99,70,7.82
0000091,18/09:55,SPIM,SKBO,SPIM->SKBO (4.3h),70,0,4.27
0000092,18/23:20,SPIM,SEQM,SPIM->SEQM (3.7h),170,0,3.68
0000093,18/15:05,SPIM,SBBR,SPIM->SEQM (3.7h) | SEQM->SCEL (5.7h) | SCEL->SABE (2.4h) | SABE->SUAA (2.2h) | SUAA->SBBR (3.9h),130,40,17.92
0000093,18/15:05,SPIM,SBBR,SPIM->SUAA (6.1h) | SUAA->SBBR (3.9h),40,0,9.95
0000094,18/06:50,SPIM,SLLP,SPIM->SLLP (3.3h),171,0,3.33
0000095,18/20:15,SPIM,SCEL,SPIM->SLLP (3.3h) | SLLP->SCEL (3.4h),129,42,6.72
0000095,18/20:15,SPIM,SCEL,SPIM->SCEL (4.1h),42,0,4.07
0000096,19/12:35,SPIM,SABE,SPIM->SABE (5.9h),172,0,5.90
0000097,19/04:10,SPIM,SGAS,SPIM->SABE (5.9h) | SABE->SGAS (3.3h),168,4,9.15
0000097,19/04:10,SPIM,SGAS,SPIM->SGAS (5.2h),4,0,5.20
0000098,19/16:45,SPIM,SUAA,SPIM->SUAA (6.1h),173,0,6.07
0000099,19/08:20,EBCI,LATI,EBCI->EDDI (1.8h) | EDDI->LATI (2.6h),31,142,4.47
0000099,19/08:20,EBCI,LATI,EBCI->LATI (2.9h),142,0,2.92
0000100,19/21:55,EBCI,EDDI,EBCI->EDDI (1.8h),174,0,1.83
0000101,20/14:10,EBCI,LOWW,EBCI->EDDI (1.8h) | EDDI->LOWW (2.6h),174,0,4.45
0000102,20/05:40,EBCI,LKPR,EBCI->EDDI (1.8h) | EDDI->LOWW (2.6h) | LOWW->LKPR (1.3h),12,163,5.78
0000102,20/05:40,EBCI,LKPR,EBCI->LKPR (1.9h),163,0,1.88
0000103,20/17:55,EBCI,LDZA,EBCI->EKCH (2.0h) | EKCH->LKPR (1.7h) | LKPR->OSDI (5.3h) | OSDI->OMDB (3.6h) | OMDB->LDZA (6.2h),175,0,18.73
0000104,20/09:30,EBCI,EKCH,EBCI->EKCH (2.0h),31,145,1.97
0000104,20/09:30,EBCI,EKCH,EBCI->EKCH (2.0h),145,0,1.97
0000105,20/22:45,EBCI,EHAM,EBCI->EHAM (2.3h),176,0,2.27
0000106,21/11:00,UBBB,VIDP,UBBB->OPKC (5.0h) | OPKC->OAKB (2.4h) | OAKB->VIDP (3.3h),177,0,10.68
